ENCOUNTER ,ENCOUNTER #,DATE,MONTH,D_PERIOD,TIME,HUMAN DETECTOR ,RESEARCH TEAM,GROUP ID,"LOCATION METHOD (AUD, VIS)","VEG. DENSITY (O, D)",END TIME,DURATION ,DURATION MIN,Max-min Dist. ,"ENCOUNTER TYPE          (IG,MO,FL,TH,AV)"
84,KG151101,11/15/2014,NOV,5,10:22,KT,"KT,HE",G,AUD,D,10:39,0:17,17,28,IG
85,KG171101,11/17/2014,NOV,5,2:39,HE,"KT,HE",G,VIS,D,5:38,2:59,179,28,IG
86,KG181101,11/18/2014,NOV,5,8:00,KT,"KT,PH",G,VIS ,D,9:38,1:38,98,20,MO
87,KG201101,11/20/2014,NOV,6,6:58,KT,"KT,PH",G,AUD ,D,7:48,0:50,50,22,IG
88,KG201102,11/20/2014,NOV,6,8:11,KT,"KT,PH",G,VIS,O,8:30,0:19,19,14,TH
89,KG201103,11/20/2014,NOV,6,9:11,KT,"KT,PH",G,AUD ,O,11:38,2:27,54,14,IG
90,KG211101,11/21/2014,NOV,6,11:48,KT,"KT,HE,+IN",G,VIS,D,12:42,0:54,54,14,MO
91,KG241101,11/24/2014,NOV,6,1:43,HE,"KT,HE",G,VIS,D,1:53,0:10,10,22,LO/AV
92,KG251101,11/25/2014,NOV,6,7:16,PH,"KT,PH",G,VIS,D,7:46,0:30,30,14,IG
93,KG251102,11/25/2014,NOV,6,8:05,PH,"KT,PH",G,VIS ,D,9:05,1:00,60,22,IG
94,KG261101,11/26/2014,NOV,6,7:50,HE,"KT,HE",G,AUD ,D,8:55,1:05,65,14,IG
95,KG152501,12/15/2014,DEC,6,6:56,KT,"KT,HE",G,AUD ,D,7:36,0:40,40,10,IG
96,KG151202,12/15/2014,DEC,6,8:35,HE,"KT,HE",G,VIS,D,9:26,0:51,51,22,IG
97,KG151203,12/15/2014,DEC,6,9:46,HE,"KT,HE",G,VIS,D,9:54,0:08,8,22,IG
98,KG151204,12/15/2014,DEC,6,10:48,KT,"KT,HE",G,VIS ,D,11:00,0:12,12,28,IG
99,KG161201,12/16/2014,DEC,6,7:50,KT,"KT,PH",G,VIS ,D,7:55,0:05,5,22,IG
100,KG161202,12/16/2014,DEC,6,8:12,KT,"KT,PH",G,VIS ,D,11:45,3:33,213,14,IG
101,KG171201,12/17/2014,DEC,6,7:35,KT,"KT,HE",G,AUD ,D,8:15,0:40,40,28,IG
102,KG171202,12/17/2014,DEC,6,8:40,KT,"KT,HE",G,VIS,D,9:10,0:30,30,36,IG
103,KG171203,12/17/2014,DEC,6,10:35,HE,"KT,HE",G,VIS,D,11:26,0:51,51,11,IG
104,KG221201,12/22/2014,DEC,6,11:47,KT,"KT,ER,HE",G,VIS,D,12:58,1:11,71,22,IG
105,KG231201,12/23/2014,DEC,6,8:40,KT,"KT,PH",G,VIS ,D,11:50,3:10,190,22,IG
106,KG12101,1/12/2015,JAN,6,2:49,HE,"KT,HE",G,VIS ,D,3:10,0:21,21,22,IG
107,KG24101,1/24/2015,JAN,6,9:40,KT,"KT,PH,AA",G,AUD,D,11:48,2:08,128,14,IG
,,,,,,,,,,,,,,20,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,28,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,36,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,22,
